"NonSerializableClassA"
"","NA0"
"TIME (MS)","17.7301"
"BYTE ARRAY MEMORY (BYTES)","4"
"NonSerializableClassB"
"","NB0"
"TIME (MS)","1.7228"
"BYTE ARRAY MEMORY (BYTES)","4"
"NonSerializableClassC"
"","NC0"
"TIME (MS)","1.5522"
"BYTE ARRAY MEMORY (BYTES)","4"
"NonSerializableClassD"
"","ND0"
"TIME (MS)","0.9581"
"BYTE ARRAY MEMORY (BYTES)","4"
"NonSerializableClassE"
"","NE0"
"TIME (MS)","1.6101"
"BYTE ARRAY MEMORY (BYTES)","4"
