"NonSerializableClassA"
"","NA1"
"TIME (MS)","1.6265"
"BYTE ARRAY MEMORY (BYTES)","652"
"NonSerializableClassB"
"","NB1"
"TIME (MS)","0.4291"
"BYTE ARRAY MEMORY (BYTES)","822"
"NonSerializableClassC"
"","NC1"
"TIME (MS)","0.3745"
"BYTE ARRAY MEMORY (BYTES)","699"
"NonSerializableClassD"
"","ND1"
"TIME (MS)","0.3984"
"BYTE ARRAY MEMORY (BYTES)","830"
"NonSerializableClassE"
"","NE1"
"TIME (MS)","0.5689"
"BYTE ARRAY MEMORY (BYTES)","856"
